year,month,desktop traffic,mobile traffic,all traffic
2007,12,2998331524.0,,2998331524.0
2008,01,4930902570.0,,4930902570.0
2008,02,4818393763.0,,4818393763.0
2008,03,4955405809.0,,4955405809.0
2008,04,5159162183.0,,5159162183.0
2008,05,5584691092.0,,5584691092.0
2008,06,5712104279.0,,5712104279.0
2008,07,5306302874.0,,5306302874.0
2008,08,5140155519.0,,5140155519.0
2008,09,5479533823.0,,5479533823.0
2008,10,5679440782.0,,5679440782.0
2008,11,5415832071.0,,5415832071.0
2008,12,5211708451.0,,5211708451.0
2009,01,5802681551.0,,5802681551.0
2009,02,5547320860.0,,5547320860.0
2009,03,6295159057.0,,6295159057.0
2009,04,5988817321.0,,5988817321.0
2009,05,6267516733.0,,6267516733.0
2009,06,5818924182.0,,5818924182.0
2009,07,5801646978.0,,5801646978.0
2009,08,5790850384.0,,5790850384.0
2009,09,4057515768.0,,4057515768.0
2009,10,6016107147.0,,6016107147.0
2009,11,5768486910.0,,5768486910.0
2009,12,5426505977.0,,5426505977.0
2010,01,5703465285.0,,5703465285.0
2010,02,5762451418.0,,5762451418.0
2010,03,6661347946.0,,6661347946.0
2010,04,6618552152.0,,6618552152.0
2010,05,6410578775.0,,6410578775.0
2010,06,4898035014.0,,4898035014.0
2010,07,5296177638.0,,5296177638.0
2010,08,7381346660.0,,7381346660.0
2010,09,7546488744.0,,7546488744.0
2010,10,10172844562.0,,10172844562.0
2010,11,6948678354.0,,6948678354.0
2010,12,7001952100.0,,7001952100.0
2011,01,7568511227.0,,7568511227.0
2011,02,6906248849.0,,6906248849.0
2011,03,7326545928.0,,7326545928.0
2011,04,6835492088.0,,6835492088.0
2011,05,7009799378.0,,7009799378.0
2011,06,6536675534.0,,6536675534.0
2011,07,6571730164.0,,6571730164.0
2011,08,6514500361.0,,6514500361.0
2011,09,5837738935.0,,5837738935.0
2011,10,6974424665.0,,6974424665.0
2011,11,7507641641.0,,7507641641.0
2011,12,6396357939.0,,6396357939.0
2012,01,7808477339.0,,7808477339.0
2012,02,7530127141.0,,7530127141.0
2012,03,7358543625.0,,7358543625.0
2012,04,7220029422.0,,7220029422.0
2012,05,7784479302.0,,7784479302.0
2012,06,7524265988.0,,7524265988.0
2012,07,7819376527.0,,7819376527.0
2012,08,7885641059.0,,7885641059.0
2012,09,7913689733.0,,7913689733.0
2012,10,8379960050.0,,8379960050.0
2012,11,8219987195.0,,8219987195.0
2012,12,8033826900.0,,8033826900.0
2013,01,9126210673.0,,9126210673.0
2013,02,8100597857.0,,8100597857.0
2013,03,8701419671.0,,8701419671.0
2013,04,8049296729.0,,8049296729.0
2013,05,8089099883.0,,8089099883.0
2013,06,7759959725.0,,7759959725.0
2013,07,8237301982.0,,8237301982.0
2013,08,9306122925.0,,9306122925.0
2013,09,9985326806.0,,9985326806.0
2013,10,10775158269.0,,10775158269.0
2013,11,10414877805.0,,10414877805.0
2013,12,7102459747.0,,7102459747.0
2014,01,7026531269.0,,7026531269.0
2014,02,6718243109.0,,6718243109.0
2014,03,7464128273.0,,7464128273.0
2014,04,7216245221.0,,7216245221.0
2014,05,7543277646.0,,7543277646.0
2014,06,6577352648.0,,6577352648.0
2014,07,6761059566.0,,6761059566.0
2014,08,6687313714.0,,6687313714.0
2014,09,7564600999.0,,7564600999.0
2014,10,6577533128.0,3091546685.0,9669079813.0
2014,11,6153537606.0,3027489668.0,9181027274.0
2014,12,5830332248.0,3278950021.0,9109282269.0
2015,01,6103767055.0,3485302091.0,9589069146.0
2015,02,5602710439.0,3091534479.0,8694244918.0
2015,03,6346602713.0,3330832588.0,9677435301.0
2015,04,6198945657.0,3222089917.0,9421035574.0
2015,05,6323801814.0,3334069483.0,9657871297.0
2015,06,5165413640.0,3038162463.0,8203576103.0
2015,07,4802946354.0,3271613994.5,8074560348.5
2015,08,4684008316.0,3285410310.0,7969418626.0
2015,09,4947561529.5,3171316580.0,8118878109.5
2015,10,5006618613.0,3257290818.5,8263909431.5
2015,11,4792338168.0,3227417791.0,8019755959.0
2015,12,4682229105.0,3381843585.0,8064072690.0
